2018-11-22 11:30:45 status unpacked libselinux1:i386 2.3-2
2018-11-22 11:30:45 install libudev1:i386 <none> 215-17+deb8u7
2018-11-22 11:30:45 status half-installed libudev1:i386 215-17+deb8u7
2018-11-22 11:30:45 status unpacked libudev1:i386 215-17+deb8u7
2018-11-22 11:30:45 status unpacked libudev1:i386 215-17+deb8u7
2018-11-22 11:30:45 install e2fsprogs:i386 <none> 1.42.12-2+b1
2018-11-22 11:30:45 status half-installed e2fsprogs:i386 1.42.12-2+b1
2018-11-22 11:30:45 status unpacked e2fsprogs:i386 1.42.12-2+b1
2018-11-22 11:30:45 status unpacked e2fsprogs:i386 1.42.12-2+b1
2018-11-22 11:30:45 install libacl1:i386 <none> 2.2.52-2
2018-11-22 11:30:45 status half-installed libacl1:i386 2.2.52-2
2018-11-22 11:30:45 status unpacked libacl1:i386 2.2.52-2
2018-11-22 11:30:45 status unpacked libacl1:i386 2.2.52-2
2018-11-22 11:30:45 install bash:i386 <none> 4.3-11+deb8u1
2018-11-22 11:30:45 status half-installed bash:i386 4.3-11+deb8u1
2018-11-22 11:30:45 status unpacked bash:i386 4.3-11+deb8u1
2018-11-22 11:30:45 status unpacked bash:i386 4.3-11+deb8u1
2018-11-22 11:30:45 install multiarch-support:i386 <none> 2.19-18+deb8u10
2018-11-22 11:30:45 status half-installed multiarch-support:i386 2.19-18+deb8u10
2018-11-22 11:30:45 status unpacked multiarch-support:i386 2.19-18+deb8u10
2018-11-22 11:30:45 status unpacked multiarch-support:i386 2.19-18+deb8u10
2018-11-22 11:30:46 install libncurses5:i386 <none> 5.9+20140913-1+deb8u3
2018-11-22 11:30:46 status half-installed libncurses5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:46 status unpacked libncurses5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:46 status unpacked libncurses5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:46 install init:i386 <none> 1.22
2018-11-22 11:30:46 status half-installed init:i386 1.22
2018-11-22 11:30:46 status unpacked init:i386 1.22
2018-11-22 11:30:46 status unpacked init:i386 1.22
2018-11-22 11:30:46 install libsmartcols1:i386 <none> 2.25.2-6
2018-11-22 11:30:46 status half-installed libsmartcols1:i386 2.25.2-6
2018-11-22 11:30:46 status unpacked libsmartcols1:i386 2.25.2-6
2018-11-22 11:30:46 status unpacked libsmartcols1:i386 2.25.2-6
2018-11-22 11:30:46 install gzip:i386 <none> 1.6-4
2018-11-22 11:30:46 status half-installed gzip:i386 1.6-4
2018-11-22 11:30:46 status unpacked gzip:i386 1.6-4
2018-11-22 11:30:46 status unpacked gzip:i386 1.6-4
2018-11-22 11:30:46 install libaudit-common:all <none> 1:2.4-1
2018-11-22 11:30:46 status half-installed libaudit-common:all 1:2.4-1
2018-11-22 11:30:46 status unpacked libaudit-common:all 1:2.4-1
2018-11-22 11:30:46 status unpacked libaudit-common:all 1:2.4-1
2018-11-22 11:30:46 install libsemanage1:i386 <none> 2.3-1+b1
2018-11-22 11:30:46 status half-installed libsemanage1:i386 2.3-1+b1
2018-11-22 11:30:46 status unpacked libsemanage1:i386 2.3-1+b1
2018-11-22 11:30:46 status unpacked libsemanage1:i386 2.3-1+b1
2018-11-22 11:30:46 install libpam-modules:i386 <none> 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:46 status half-installed libpam-modules:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:47 status unpacked libpam-modules:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:47 status unpacked libpam-modules:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:47 install findutils:i386 <none> 4.4.2-9+b1
2018-11-22 11:30:47 status half-installed findutils:i386 4.4.2-9+b1
2018-11-22 11:30:47 status unpacked findutils:i386 4.4.2-9+b1
2018-11-22 11:30:47 status unpacked findutils:i386 4.4.2-9+b1
2018-11-22 11:30:47 install systemd:i386 <none> 215-17+deb8u7
2018-11-22 11:30:47 status half-installed systemd:i386 215-17+deb8u7
2018-11-22 11:30:49 status unpacked systemd:i386 215-17+deb8u7
2018-11-22 11:30:49 status unpacked systemd:i386 215-17+deb8u7
2018-11-22 11:30:49 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2018-11-22 11:30:49 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2018-11-22 11:30:50 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2018-11-22 11:30:50 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2018-11-22 11:30:50 upgrade mawk:i386 1.3.3-17 1.3.3-17
2018-11-22 11:30:50 status half-configured mawk:i386 1.3.3-17
2018-11-22 11:30:50 status unpacked mawk:i386 1.3.3-17
2018-11-22 11:30:50 status half-installed mawk:i386 1.3.3-17
2018-11-22 11:30:50 status half-installed mawk:i386 1.3.3-17
2018-11-22 11:30:50 status unpacked mawk:i386 1.3.3-17
