2019-11-20 12:16:08 install libselinux1:i386 <none> 2.6-3+b3
2019-11-20 12:16:08 status half-installed libselinux1:i386 2.6-3+b3
2019-11-20 12:16:08 status unpacked libselinux1:i386 2.6-3+b3
2019-11-20 12:16:08 status unpacked libselinux1:i386 2.6-3+b3
2019-11-20 12:16:09 install libsemanage-common:all <none> 2.6-2
2019-11-20 12:16:09 status half-installed libsemanage-common:all 2.6-2
2019-11-20 12:16:09 status unpacked libsemanage-common:all 2.6-2
2019-11-20 12:16:09 status unpacked libsemanage-common:all 2.6-2
2019-11-20 12:16:09 install libsemanage1:i386 <none> 2.6-2
2019-11-20 12:16:09 status half-installed libsemanage1:i386 2.6-2
2019-11-20 12:16:09 status unpacked libsemanage1:i386 2.6-2
2019-11-20 12:16:09 status unpacked libsemanage1:i386 2.6-2
2019-11-20 12:16:09 install libsepol1:i386 <none> 2.6-2
2019-11-20 12:16:09 status half-installed libsepol1:i386 2.6-2
2019-11-20 12:16:09 status unpacked libsepol1:i386 2.6-2
2019-11-20 12:16:09 status unpacked libsepol1:i386 2.6-2
2019-11-20 12:16:09 install libsmartcols1:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:09 status half-installed libsmartcols1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:10 status unpacked libsmartcols1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:10 status unpacked libsmartcols1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:10 install libss2:i386 <none> 1.43.4-2
2019-11-20 12:16:10 status half-installed libss2:i386 1.43.4-2
2019-11-20 12:16:10 status unpacked libss2:i386 1.43.4-2
2019-11-20 12:16:10 status unpacked libss2:i386 1.43.4-2
2019-11-20 12:16:10 install libsystemd0:i386 <none> 232-25+deb9u12
2019-11-20 12:16:10 status half-installed libsystemd0:i386 232-25+deb9u12
2019-11-20 12:16:10 status unpacked libsystemd0:i386 232-25+deb9u12
2019-11-20 12:16:10 status unpacked libsystemd0:i386 232-25+deb9u12
2019-11-20 12:16:10 install libtinfo5:i386 <none> 6.0+20161126-1+deb9u2
2019-11-20 12:16:10 status half-installed libtinfo5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:10 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:11 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:11 install libudev1:i386 <none> 232-25+deb9u12
2019-11-20 12:16:11 status half-installed libudev1:i386 232-25+deb9u12
2019-11-20 12:16:11 status unpacked libudev1:i386 232-25+deb9u12
2019-11-20 12:16:11 status unpacked libudev1:i386 232-25+deb9u12
2019-11-20 12:16:11 install libustr-1.0-1:i386 <none> 1.0.4-6
2019-11-20 12:16:11 status half-installed libustr-1.0-1:i386 1.0.4-6
2019-11-20 12:16:11 status unpacked libustr-1.0-1:i386 1.0.4-6
2019-11-20 12:16:11 status unpacked libustr-1.0-1:i386 1.0.4-6
2019-11-20 12:16:11 install libuuid1:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:11 status half-installed libuuid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:11 status unpacked libuuid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:11 status unpacked libuuid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:12 install login:i386 <none> 1:4.4-4.1
2019-11-20 12:16:12 status half-installed login:i386 1:4.4-4.1
2019-11-20 12:16:12 status unpacked login:i386 1:4.4-4.1
2019-11-20 12:16:12 status unpacked login:i386 1:4.4-4.1
2019-11-20 12:16:12 install lsb-base:all <none> 9.20161125
2019-11-20 12:16:12 status half-installed lsb-base:all 9.20161125
2019-11-20 12:16:12 status unpacked lsb-base:all 9.20161125
2019-11-20 12:16:12 status unpacked lsb-base:all 9.20161125
2019-11-20 12:16:12 upgrade mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2019-11-20 12:16:12 status half-configured mawk:i386 1.3.3-17+b3
2019-11-20 12:16:12 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:16:12 status half-installed mawk:i386 1.3.3-17+b3
2019-11-20 12:16:12 status half-installed mawk:i386 1.3.3-17+b3
2019-11-20 12:16:12 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:16:12 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:16:13 install mount:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:13 status half-installed mount:i386 2.29.2-1+deb9u1
2019-11-20 12:16:13 status unpacked mount:i386 2.29.2-1+deb9u1
2019-11-20 12:16:13 status unpacked mount:i386 2.29.2-1+deb9u1
2019-11-20 12:16:13 install multiarch-support:i386 <none> 2.24-11+deb9u4
2019-11-20 12:16:13 status half-installed multiarch-support:i386 2.24-11+deb9u4
2019-11-20 12:16:13 status unpacked multiarch-support:i386 2.24-11+deb9u4
2019-11-20 12:16:13 status unpacked multiarch-support:i386 2.24-11+deb9u4
2019-11-20 12:16:15 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2019-11-20 12:16:15 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2019-11-20 12:16:15 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-11-20 12:16:15 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-11-20 12:16:15 install ncurses-bin:i386 <none> 6.0+20161126-1+deb9u2
2019-11-20 12:16:15 status half-installed ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:16 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:16 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:16 install passwd:i386 <none> 1:4.4-4.1
2019-11-20 12:16:16 status half-installed passwd:i386 1:4.4-4.1
2019-11-20 12:16:16 status unpacked passwd:i386 1:4.4-4.1
2019-11-20 12:16:16 status unpacked passwd:i386 1:4.4-4.1
2019-11-20 12:16:16 upgrade perl-base:i386 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2019-11-20 12:16:16 status half-configured perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:16:16 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:16:16 status half-installed perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:16:17 status half-installed perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:16:17 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:16:17 status unpacked perl-base:i386 5.24.1-3+deb9u5
